epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.391,0.45737,0.394,0.94309,0.98085,0.95697,0.97513,0.9214,0.38174,0.30253,0.91669,0.00013125,0.00013125,0.00013125
2,259.944,0.44767,0.38677,0.94406,0.98599,0.95341,0.9742,0.92142,0.36531,0.29984,0.91632,0.000258107,0.000258107,0.000258107
3,368.142,0.44396,0.38063,0.93606,0.98516,0.957,0.97323,0.92274,0.36952,0.30514,0.91606,0.000374075,0.000374075,0.000374075
4,465.732,0.44637,0.38778,0.95926,0.98523,0.95624,0.97652,0.92056,0.36156,0.30108,0.91964,0.000479153,0.000479153,0.000479153
5,586.623,0.44727,0.38581,0.93835,0.98415,0.95166,0.97427,0.91201,0.38805,0.3023,0.91979,0.000526,0.000526,0.000526
6,700.533,0.43304,0.3736,0.94469,0.99109,0.95246,0.97872,0.92406,0.36042,0.29304,0.91386,0.00050125,0.00050125,0.00050125
7,845.117,0.42487,0.36311,0.94216,0.99047,0.94625,0.97428,0.91839,0.37521,0.29412,0.91681,0.0004765,0.0004765,0.0004765
8,1013.2,0.44267,0.36972,0.93941,0.99364,0.95492,0.97604,0.9251,0.3596,0.29399,0.911,0.00045175,0.00045175,0.00045175
9,1186.3,0.43565,0.36081,0.93464,0.99055,0.95545,0.97383,0.92622,0.35526,0.28638,0.90679,0.000427,0.000427,0.000427
10,1333.07,0.43046,0.36054,0.94018,0.99362,0.95257,0.97258,0.91454,0.35693,0.28883,0.91036,0.00040225,0.00040225,0.00040225
11,1470.26,0.42018,0.34528,0.93647,0.992,0.95299,0.97218,0.92169,0.35531,0.28492,0.90933,0.0003775,0.0003775,0.0003775
12,1596.67,0.40083,0.34581,0.9294,0.99332,0.95416,0.97679,0.91668,0.35295,0.28018,0.90984,0.00035275,0.00035275,0.00035275
13,1728.01,0.41094,0.34326,0.93139,0.99298,0.95754,0.97989,0.92659,0.35546,0.27908,0.91046,0.000328,0.000328,0.000328
14,1868.9,0.41385,0.34092,0.9299,0.98056,0.54672,0.71953,0.68641,0.34714,0.27637,0.91242,0.00030325,0.00030325,0.00030325
15,2013.29,0.39667,0.33518,0.928,0.99125,0.74726,0.84494,0.80626,0.33168,0.26649,0.91024,0.0002785,0.0002785,0.0002785
16,2192.7,0.36101,0.3365,0.86174,0.9928,0.83737,0.90341,0.85479,0.35415,0.282,0.91075,0.00025375,0.00025375,0.00025375
17,2350.46,0.36372,0.33061,0.86359,0.98877,0.68114,0.80659,0.76173,0.34156,0.27613,0.90741,0.000229,0.000229,0.000229
18,2515.71,0.35363,0.32163,0.85564,0.99477,0.92189,0.95483,0.90551,0.34383,0.26689,0.90688,0.00020425,0.00020425,0.00020425
19,2674.69,0.35175,0.31647,0.85785,0.99446,0.95835,0.97603,0.92961,0.33578,0.26537,0.90547,0.0001795,0.0001795,0.0001795
20,2837.52,0.35766,0.31411,0.85936,0.99313,0.95712,0.9785,0.93025,0.34506,0.26868,0.90577,0.00015475,0.00015475,0.00015475
21,3002.63,0.34356,0.31054,0.85427,0.99357,0.95709,0.97736,0.93393,0.33198,0.26073,0.90214,0.00013,0.00013,0.00013
22,3184.58,0.34894,0.31192,0.85534,0.99369,0.95751,0.9789,0.92915,0.33985,0.26417,0.90307,0.00010525,0.00010525,0.00010525
23,3350.86,0.34768,0.30955,0.85576,0.99345,0.95532,0.97558,0.92797,0.33104,0.26183,0.90205,8.05e-05,8.05e-05,8.05e-05
24,3642.15,0.33839,0.30764,0.8556,0.99298,0.95916,0.9754,0.92852,0.3264,0.25846,0.90139,5.575e-05,5.575e-05,5.575e-05
25,3824.93,0.34563,0.30664,0.85684,0.99176,0.95711,0.97544,0.92765,0.32945,0.25748,0.90234,3.1e-05,3.1e-05,3.1e-05
